,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year
379,Shooting,tokyo-2020,Skeet women,Women,SILVER,Athlete,,https://olympics.com/en/athletes/diana-bacosi,Diana BACOSI,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
492,Canoe Sprint,tokyo-2020,Men's Kayak Single 200m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/manfredi-rizza,Manfredi RIZZA,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
495,Cycling Road,tokyo-2020,Women's Road Race,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/elisa-longo-borghini,Elisa LONGO BORGHINI,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
555,Boxing,tokyo-2020,Women's Feather (54-57kg),Women,BRONZE,Athlete,,https://olympics.com/en/athletes/irma-testa,Irma TESTA,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
639,Marathon Swimming,tokyo-2020,Men's 10km,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/gregorio-paltrinieri,Gregorio PALTRINIERI,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
686,Taekwondo,tokyo-2020,Men -58kg,Men,GOLD,Athlete,,https://olympics.com/en/athletes/vito-dell-aquila,Vito DELL'AQUILA,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
709,Cycling Track,tokyo-2020,Men's Team Pursuit,Men,GOLD,GameTeam,Italy,,,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
731,Cycling Track,tokyo-2020,Men's Omnium,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/elia-viviani,Elia VIVIANI,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
738,Fencing,tokyo-2020,Women's Épée Team,Women,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
751,Fencing,tokyo-2020,Men's Foil Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/daniele-garozzo,Daniele GAROZZO,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
756,Fencing,tokyo-2020,Women's Foil Team,Women,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
761,Fencing,tokyo-2020,Men's Sabre Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/luigi-samele,Luigi SAMELE,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
764,Fencing,tokyo-2020,Men's Sabre Team,Men,SILVER,GameTeam,Italy,,,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
879,Wrestling,tokyo-2020,Men's Freestyle 97kg,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/abraham-de-jesus-conyedo-ruano,Abraham de Jesus CONYEDO RUANO,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
932,Artistic Gymnastics,tokyo-2020,Women's Floor Exercise,Women,SILVER,Athlete,,https://olympics.com/en/athletes/vanessa-ferrari,Vanessa FERRARI,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
1012,Judo,tokyo-2020,Women -63 kg,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/maria-centracchio,Maria CENTRACCHIO,Italy,IT,ITA,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020
